kode_negara,negara,nama_indikator,kode_indikator,2017,2018,2019,2020
SSF,Sub-Saharan Africa,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,53.0,51.1,50.5,49.6
SST,Small states,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,25.1492688282222,24.4825080801933,24.1941993553849,23.7506663553416
STP,Sao Tome and Principe,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,12.9,12.0,11.3,10.8
SUR,Suriname,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,18.0,17.6,17.1,16.6
SVK,Slovak Republic,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,5.0,5.0,5.0,5.0
SVN,Slovenia,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,2.0,2.0,2.0,1.9
SWE,Sweden,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,2.3,2.2,2.2,2.1
SWZ,Eswatini,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,51.1,47.7,47.6,47.3
SYC,Seychelles,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,13.4,13.5,13.6,13.6
SYR,Syrian Arab Republic,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,24.2,24.2,21.1,20.0
TCA,Turks and Caicos Islands,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,3.8,3.7,3.6,3.4
TCD,Chad,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,68.3,66.4,64.6,62.9
TEA,East Asia & Pacific (IDA & IBRD countries),"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,12.4626045759779,12.4071301006166,12.0422004171441,12.1855100266913
