cause_id,penyebab_kematian
CS00167,African trypanosomiasis
CS00168,Pneumocystosis
CS00169,"Other protozoal diseases, not elsewhere classified"
CS00170,Schistosomiasis [bilharziasis]
CS00171,Filariasis
CS00172,Sequelae of tuberculosis
CS00173,Sequelae of poliomyelitis
CS00174,Sequelae of other and unspecified infectious and parasitic diseases
CS00175,Other and unspecified infectious diseases
CS00176,Malignant neoplasm of lip
CS00177,Malignant neoplasm of base of tongue
CS00178,Malignant neoplasm of other and unspecified parts of tongue
CS00179,Malignant neoplasm of gum
CS00180,Malignant neoplasm of floor of mouth
CS00181,Malignant neoplasm of palate
CS00182,Malignant neoplasm of other and unspecified parts of mouth
CS00183,Malignant neoplasm of parotid gland
CS00184,Malignant neoplasm of other and unspecified major salivary glands
CS00185,Malignant neoplasm of tonsil
CS00186,Malignant neoplasm of oropharynx
CS00187,Malignant neoplasm of nasopharynx
CS00188,Malignant neoplasm of piriform sinus
CS00189,Malignant neoplasm of hypopharynx
CS00190,"Malignant neoplasm of other and ill-defined sites in the lip, oral cavity and pharynx"
CS00191,Malignant neoplasm of small intestine
CS00192,Malignant neoplasm of colon
CS00193,Malignant neoplasm of rectosigmoid junction
CS00194,Malignant neoplasm of rectum
CS00195,Malignant neoplasm of anus and anal canal
CS00196,Malignant neoplasm of gallbladder
CS00197,Malignant neoplasm of other and unspecified parts of biliary tract
CS00198,Malignant neoplasm of other and ill-defined digestive organs
CS00199,Malignant neoplasm of nasal cavity and middle ear
CS00200,Malignant neoplasm of accessory sinuses
CS00201,Malignant neoplasm of trachea
CS00202,Malignant neoplasm of bronchus and lung
CS00203,Malignant neoplasm of thymus
CS00204,"Malignant neoplasm of heart, mediastinum and pleura"
CS00205,Malignant neoplasm of other and ill-defined sites in the respiratory system and intrathoracic organs
CS00206,Malignant neoplasm of bone and articular cartilage of limbs
CS00207,Malignant neoplasm of bone and articular cartilage of other and unspecified sites
CS00208,Other malignant neoplasms of skin
CS00209,Mesothelioma
CS00210,Kaposi sarcoma
CS00211,Malignant neoplasm of peripheral nerves and autonomic nervous system
CS00212,Malignant neoplasm of retroperitoneum and peritoneum
CS00213,Malignant neoplasm of other connective and soft tissue
CS00214,Malignant neoplasm of testis
CS00215,Malignant neoplasm of other and unspecified male genital organs
CS00216,"Malignant neoplasm of kidney, except renal pelvis"
CS00217,Malignant neoplasm of renal pelvis
CS00218,Malignant neoplasm of ureter
CS00219,Malignant neoplasm of other and unspecified urinary organs
CS00220,Malignant neoplasm of eye and adnexa
CS00221,Malignant neoplasm of meninges
CS00222,Malignant neoplasm of brain
CS00223,"Malignant neoplasm of spinal cord, cranial nerves and other parts of central nervous system"
CS00224,Malignant neoplasm of thyroid gland
CS00225,Malignant neoplasm of adrenal gland
CS00226,Malignant neoplasm of other endocrine glands and related structures
CS00227,Malignant neoplasm of other and ill-defined sites
CS00228,Secondary and unspecified malignant neoplasm of lymph nodes
CS00229,Secondary malignant neoplasm of respiratory and digestive organs
CS00230,Secondary malignant neoplasm of other and unspecified sites
CS00231,"Malignant neoplasm, without specification of site"
CS00232,Hodgkin lymphoma
CS00233,Follicular lymphoma
CS00234,Non-follicular lymphoma
CS00235,Mature T/NK-cell lymphomas
CS00236,Other and unspecified types of non-Hodgkin lymphoma
CS00237,Malignant immunoproliferative diseases
CS00238,Lymphoid leukaemia
CS00239,Myeloid leukaemia
CS00240,Monocytic leukaemia
CS00241,Other leukaemias of specified cell type
CS00242,Leukaemia of unspecified cell type
CS00243,"Other and unspecified malignant neoplasms of lymphoid, haematopoietic and related tissue"
CS00244,Malignant neoplasms of independent (primary) multiple sites
CS00245,"Carcinoma in situ of oral cavity, oesophagus and stomach"
CS00246,Carcinoma in situ of other and unspecified digestive organs
CS00247,Carcinoma in situ of middle ear and respiratory system
CS00248,Melanoma in situ
CS00249,Carcinoma in situ of skin
CS00250,Carcinoma in situ of breast
CS00251,Carcinoma in situ of other and unspecified genital organs
CS00252,Carcinoma in situ of other and unspecified sites
CS00253,Benign neoplasm of mouth and pharynx
CS00254,Benign neoplasm of major salivary glands
CS00255,"Benign neoplasm of colon, rectum, anus and anal canal"
CS00256,Benign neoplasm of other and ill-defined parts of digestive system
CS00257,Benign neoplasm of middle ear and respiratory system
CS00258,Benign neoplasm of other and unspecified intrathoracic organs
CS00259,Benign neoplasm of bone and articular cartilage
CS00260,"Haemangioma and lymphangioma, any site"
CS00261,Benign neoplasm of mesothelial tissue
CS00262,Benign neoplasm of soft tissue of retroperitoneum and peritoneum
CS00263,Other benign neoplasms of skin
CS00264,Benign neoplasm of breast
CS00265,Benign neoplasm of male genital organs
CS00266,Benign neoplasm of urinary organs
CS00267,Benign neoplasm of brain and other parts of central nervous system
CS00268,Benign neoplasm of thyroid gland
CS00269,Benign neoplasm of other and unspecified endocrine glands
CS00270,Benign neoplasm of other and unspecified sites
CS00271,Neoplasm of uncertain or unknown behaviour of oral cavity and digestive organs
CS00272,Neoplasm of uncertain or unknown behaviour of middle ear and respiratory and intrathoracic organs
CS00273,Neoplasm of uncertain or unknown behaviour of urinary organs
CS00274,Neoplasm of uncertain or unknown behaviour of meninges
CS00275,Neoplasm of uncertain or unknown behaviour of brain and central nervous system
CS00276,Neoplasm of uncertain or unknown behaviour of endocrine glands
CS00277,Polycythaemia vera
CS00278,"Other neoplasms of uncertain or unknown behaviour of lymphoid, haematopoietic and related tissue"
CS00279,Neoplasm of uncertain or unknown behaviour of other and unspecified sites
CS00280,Iron deficiency anaemia
CS00281,Vitamin B 12 deficiency anaemia
CS00282,Folate deficiency anaemia
CS00283,Other nutritional anaemias
CS00284,Anaemia due to enzyme disorders
CS00285,Thalassaemia
CS00286,Sickle-cell disorders
CS00287,Acquired haemolytic anaemia
CS00288,Other aplastic anaemias
CS00289,Acute posthaemorrhagic anaemia
CS00290,Other anaemias
CS00291,Disseminated intravascular coagulation [defibrination syndrome]
CS00292,Hereditary factor VIII deficiency
CS00293,Other coagulation defects
CS00294,Purpura and other haemorrhagic conditions
CS00295,Agranulocytosis
CS00296,Functional disorders of polymorphonuclear neutrophils
CS00297,Diseases of spleen
CS00298,Other diseases of blood and blood-forming organs
CS00299,Immunodeficiency with predominantly antibody defects
CS00300,Combined immunodeficiencies
CS00301,Immunodeficiency associated with other major defects
CS00302,Common variable immunodeficiency
CS00303,Other immunodeficiencies
CS00304,"Other disorders involving the immune mechanism, not elsewhere classified"
CS00305,Congenital iodine-deficiency syndrome
CS00306,Iodine-deficiency-related thyroid disorders and allied conditions
CS00307,Other hypothyroidism
CS00308,Thyrotoxicosis [hyperthyroidism]
CS00309,Thyroiditis
CS00310,Other disorders of thyroid
CS00311,Type 1 diabetes mellitus
CS00312,Type 2 diabetes mellitus
CS00313,Malnutrition-related diabetes mellitus
CS00314,Other specified diabetes mellitus
CS00315,Unspecified diabetes mellitus
CS00316,Nondiabetic hypoglycaemic coma
CS00317,Other disorders of pancreatic internal secretion
CS00318,Hypofunction and other disorders of pituitary gland
CS00319,Other disorders of adrenal gland
CS00320,Testicular dysfunction
CS00321,Polyglandular dysfunction
CS00322,Other endocrine disorders
CS00323,Nutritional marasmus
CS00324,Unspecified severe protein-energy malnutrition
CS00325,Protein-energy malnutrition of moderate and mild degree
CS00326,Retarded development following protein-energy malnutrition
CS00327,Unspecified protein-energy malnutrition
CS00328,Vitamin A deficiency
CS00329,Ascorbic acid deficiency
CS00330,Other vitamin deficiencies
CS00331,Dietary calcium deficiency
CS00332,Deficiency of other nutrient elements
CS00333,Other nutritional deficiencies
CS00334,Sequelae of malnutrition and other nutritional deficiencies
CS00335,Obesity
CS00336,Disorders of glycosaminoglycan metabolism
CS00337,Disorders of glycoprotein metabolism
CS00338,Disorders of lipoprotein metabolism and other lipidaemias
CS00339,Cystic fibrosis
CS00340,Volume depletion
CS00341,"Other disorders of fluid, electrolyte and acid-base balance"
CS00342,Other metabolic disorders
CS00343,Vascular dementia
CS00344,Unspecified dementia
CS00345,Other mental disorders due to brain damage and dysfunction and to physical disease
CS00346,"Personality and behavioural disorders due to brain disease, damage and dysfunction"
CS00347,Mental and behavioural disorders due to use of cannabinoids
CS00348,"Mental and behavioural disorders due to use of other stimulants, including caffeine"
CS00349,Mental and behavioural disorders due to use of volatile solvents
CS00350,Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances
CS00351,Schizophrenia
CS00352,Acute and transient psychotic disorders
CS00353,Other nonorganic psychotic disorders
CS00354,Manic episode
CS00355,Depressive episode
CS00356,Obsessive-compulsive disorder
CS00357,"Reaction to severe stress, and adjustment disorders"
CS00358,Dissociative [conversion] disorders
CS00359,Other neurotic disorders
CS00360,Psychological and behavioural factors associated with disorders or diseases classified elsewhere
CS00361,Mixed and other personality disorders
CS00362,Mild mental retardation
CS00363,Moderate mental retardation
CS00364,Severe mental retardation
CS00365,Profound mental retardation
CS00366,Other mental retardation
CS00367,Unspecified mental retardation
CS00368,Specific developmental disorder of motor function
CS00369,Other disorders of psychological development
CS00370,Unspecified disorder of psychological development
CS00371,Hyperkinetic disorders
CS00372,"Mental disorder, not otherwise specified"
CS00373,"Bacterial meningitis, not elsewhere classified"
CS00374,Meningitis due to other and unspecified causes
CS00375,"Encephalitis, myelitis and encephalomyelitis"
CS00376,Intracranial and intraspinal abscess and granuloma
CS00377,Spinal muscular atrophy and related syndromes
CS00378,Parkinson disease
CS00379,Dystonia
CS00380,Alzheimer disease
CS00381,"Other degenerative diseases of nervous system, not elsewhere classified"
CS00382,Multiple sclerosis
CS00383,Epilepsy
CS00384,Status epilepticus
CS00385,Migraine
