cause_id,penyebab_kematian
CS02669,Congenital and developmental myasthenia
CS02670,Acute rheumatic endocarditis
CS02671,Other subarachnoid haemorrhage
CS02672,Sequelae of subarachnoid haemorrhage
CS02673,Sequelae of cerebral infarction
CS02674,"Disorder of arteries and arterioles, unspecified"
CS02675,Pneumonia due to staphylococcus
CS02676,Alveolar and parietoalveolar conditions
CS02677,Gangrene and necrosis of lung
CS02678,Chronic respiratory failure
CS02679,Other specified diseases of stomach and duodenum
CS02680,Unspecified abdominal hernia without obstruction or gangrene
CS02681,"Dermatitis, unspecified"
CS02682,"Dermatopolymyositis, unspecified"
CS02683,Infection of intervertebral disc (pyogenic)
CS02684,"Disorder of bone, unspecified"
CS02685,"Chronic kidney disease, stage 4"
CS02686,Other specified disorders of bladder
CS02687,"Other and unspecified failed attempted abortion, complicated by delayed or excessive haemorrhage"
CS02688,Fetus and newborn affected by maternal hypertensive disorders
CS02689,Fetus and newborn affected by premature rupture of membranes
CS02690,"Fetus and newborn affected by maternal complication of pregnancy, unspecified"
CS02691,Fetus and newborn affected by prolapsed cord
CS02692,"Fetus and newborn affected by other malpresentation, malposition and disproportion during labour and delivery"
CS02693,Respiratory distress syndrome of newborn
CS02694,Respiratory failure of newborn
CS02695,Other specified respiratory conditions of newborn
CS02696,"Intra-amniotic infection of fetus, not elsewhere classified"
CS02697,Other specified disturbances of cerebral status of newborn
CS02698,Congenital hypotonia
CS02699,Congenital malformations of corpus callosum
CS02700,Other reduction deformities of brain
CS02701,Double outlet right ventricle
CS02702,Ebstein anomaly
CS02703,Atresia of pulmonary artery
CS02704,Congenital malformations of intestinal fixation
CS02705,Other congenital malformations of gallbladder
CS02706,Atresia of bile ducts
CS02707,Osteogenesis imperfecta
CS02708,"Edwards syndrome, unspecified"
CS02709,Pain localized to upper abdomen
CS02710,Sudden infant death syndrome with mention of autopsy
CS02711,Instantaneous death
CS02712,Exposure to unspecified factor causing fracture
CS02713,"Salmonella infection, unspecified"
CS02714,Enterocolitis due to Clostridium difficile
CS02715,Other specified bacterial intestinal infections
CS02716,"Bacterial intestinal infection, unspecified"
CS02717,"Tuberculosis of nervous system, unspecified"
CS02718,Other mycobacterial infections
CS02719,Whooping cough due to other Bordetella species
CS02720,"Streptococcal sepsis, unspecified"
CS02721,Sepsis due to Staphylococcus aureus
CS02722,Sepsis due to unspecified staphylococcus
CS02723,Sepsis due to other Gram-negative organisms
CS02724,"Staphylococcal infection, unspecified site"
CS02725,Other bacterial infections of unspecified site
CS02726,"Bacterial infection, unspecified"
CS02727,Lymphocytic choriomeningitis
CS02728,Urban yellow fever
CS02729,Dengue without warning signs
CS02730,Other forms of herpesviral infection
CS02731,Zoster encephalitis
CS02732,Disseminated zoster
CS02733,Zoster without complication
CS02734,"Acute viral hepatitis, unspecified"
CS02735,HIV disease resulting in other mycoses
CS02736,HIV disease resulting in wasting syndrome
CS02737,"Retrovirus infections, not elsewhere classified"
CS02738,"Histoplasmosis, unspecified"
CS02739,Schistosomiasis due to Schistosoma japonicum
CS02740,Angiostrongyliasis due to Parastrongylus cantonensis
CS02741,Sequelae of other specified infectious and parasitic diseases
CS02742,Malignant neoplasm: Overlapping lesion of tongue
CS02743,Malignant neoplasm: Vallecula
CS02744,Malignant neoplasm: Lateral wall of oropharynx
CS02745,"Malignant neoplasm: Overlapping lesion of lip, oral cavity and pharynx"
CS02746,Malignant neoplasm: Cervical part of oesophagus
CS02747,Malignant neoplasm: Upper third of oesophagus
CS02748,Malignant neoplasm: Middle third of oesophagus
CS02749,Malignant neoplasm: Fundus of stomach
CS02750,Malignant neoplasm: Pyloric antrum
CS02751,Malignant neoplasm: Pylorus
CS02752,Malignant neoplasm: Jejunum
CS02753,Malignant neoplasm: Hepatic flexure
CS02754,Malignant neoplasm: Splenic flexure
CS02755,Malignant neoplasm: Overlapping lesion of colon
CS02756,Malignant neoplasm: Overlapping lesion of biliary tract
CS02757,Malignant neoplasm: Body of pancreas
CS02758,Malignant neoplasm: Endocrine pancreas
CS02759,Malignant neoplasm: Overlapping lesion of digestive system
CS02760,"Malignant neoplasm: Lower lobe, bronchus or lung"
CS02761,Malignant neoplasm: Ill-defined sites within the respiratory system
CS02762,"Malignant neoplasm: Malignant melanoma of upper limb, including shoulder"
CS02763,"Malignant neoplasm: Malignant melanoma of lower limb, including hip"
CS02764,Malignant neoplasm: Skin of other and unspecified parts of face
CS02765,Malignant neoplasm: Skin of trunk
CS02766,Kaposi sarcoma of skin
CS02767,"Kaposi sarcoma, unspecified"
CS02768,"Malignant neoplasm: Connective and soft tissue of head, face and neck"
CS02769,Malignant neoplasm: Connective and soft tissue of thorax
CS02770,Malignant neoplasm: Endocervix
CS02771,Malignant neoplasm: Overlapping lesion of female genital organs
CS02772,"Malignant neoplasm: Female genital organ, unspecified"
CS02773,Malignant neoplasm: Prepuce
CS02774,Malignant neoplasm: Overlapping lesion of urinary organs
CS02775,"Malignant neoplasm: Urinary organ, unspecified"
CS02776,Malignant neoplasm: Retina
CS02777,"Malignant neoplasm: Meninges, unspecified"
CS02778,Malignant neoplasm: Spinal cord
CS02779,Malignant neoplasm: Optic nerve
CS02780,"Malignant neoplasm: Central nervous system, unspecified"
CS02781,Malignant neoplasm: Craniopharyngeal duct
CS02782,Malignant neoplasm of other and ill-defined sites: Other ill-defined sites
CS02783,Mixed cellularity classical Hodgkin lymphoma
CS02784,Small cell B-cell lymphoma
CS02785,Diffuse large B-cell lymphoma
CS02786,Burkitt lymphoma
CS02787,"Peripheral T-cell lymphoma, not elsewhere classified"
CS02788,"Mature T/NK-cell lymphoma, unspecified"
CS02789,Mediastinal (thymic) large B-cell lymphoma
CS02790,Hepatosplenic T-cell lymphoma
CS02791,Waldenström macroglobulinaemia
CS02792,Extranodal marginal zone B-cell lymphoma of mucosa-associated lymphoid tissue [MALT-lyphoma]
CS02793,Plasma cell leukaemia
CS02794,Solitary plasmacytoma
CS02795,Adult T-cell lymphoma/leukaemia [HTLV-1-associated]
CS02796,Other lymphoid leukaemia
CS02797,Chronic myelomonocytic leukaemia
CS02798,Acute megakaryoblastic leukaemia
CS02799,Histiocytic sarcoma
CS02800,"Benign lipomatous neoplasm, unspecified"
CS02801,"Neoplasm of uncertain or unknown behaviour: Lip, oral cavity and pharynx"
CS02802,Neoplasm of uncertain or unknown behaviour: Stomach
CS02803,Neoplasm of uncertain or unknown behaviour: Small intestine
CS02804,"Neoplasm of uncertain or unknown behaviour: Liver, gallbladder and bile ducts"
CS02805,"Neoplasm of uncertain or unknown behaviour: Digestive organ, unspecified"
CS02806,Neoplasm of uncertain or unknown behaviour: Larynx
CS02807,Neoplasm of uncertain or unknown behaviour: Mediastinum
CS02808,Neoplasm of uncertain or unknown behaviour: Uterus
CS02809,Neoplasm of uncertain or unknown behaviour: Other female genital organs
CS02810,"Neoplasm of uncertain or unknown behaviour: Female genital organ, unspecified"
CS02811,Neoplasm of uncertain or unknown behaviour: Prostate
CS02812,Neoplasm of uncertain or unknown behaviour: Kidney
CS02813,"Neoplasm of uncertain or unknown behaviour: Brain, infratentorial"
CS02814,Refractory anaemia with excess of blasts [RAEB]
CS02815,Monoclonal gammopathy of undetermined significance (MGUS)
CS02816,Essential (haemorrhagic) thrombocythaemia
CS02817,Osteomyelofibrosis
CS02818,Neoplasm of uncertain or unknown behaviour: Bone and articular cartilage
CS02819,Neoplasm of uncertain or unknown behaviour: Connective and other soft tissue
CS02820,Neoplasm of uncertain or unknown behaviour: Other specified sites
CS02821,Other iron deficiency anaemias
CS02822,"Iron deficiency anaemia, unspecified"
CS02823,Vitamin B 12 deficiency anaemia due to intrinsic factor deficiency
CS02824,Beta thalassaemia
CS02825,Sickle-cell trait
CS02826,Von Willebrand disease
CS02827,Haemorrhagic disorder due to circulating anticoagulants
CS02828,Other thrombophilia
CS02829,Other specified diseases of blood and blood-forming organs
CS02830,"Common variable immunodeficiency, unspecified"
CS02831,"Sarcoidosis, unspecified"
CS02832,Type 1 diabetes mellitus with neurological complications
CS02833,Type 1 diabetes mellitus with multiple complications
CS02834,Type 1 diabetes mellitus with unspecified complications
CS02835,Unspecified diabetes mellitus with neurological complications
CS02836,Other hypoglycaemia
CS02837,"Hyperparathyroidism, unspecified"
CS02838,Androgen resistance syndrome
CS02839,Deficiency of other specified B group vitamins
CS02840,Sequelae of protein-energy malnutrition
CS02841,Extreme obesity with alveolar hypoventilation
CS02842,Disorders of sulfur-bearing amino-acid metabolism
CS02843,Glycogen storage disease
CS02844,Pure hyperglyceridaemia
CS02845,"Disorder of lipoprotein metabolism, unspecified"
CS02846,Other disorders of bilirubin metabolism
CS02847,Disorders of iron metabolism
CS02848,Cystic fibrosis with other manifestations
CS02849,"Heredofamilial amyloidosis, unspecified"
CS02850,Other amyloidosis
CS02851,Alkalosis
CS02852,Mixed cortical and subcortical vascular dementia
CS02853,"Vascular dementia, unspecified"
CS02854,Unspecified mental disorder due to brain damage and dysfunction and to physical disease
CS02855,Organic personality disorder
CS02856,Mental and behavioural disorders due to use of alcohol : amnesic syndrome
CS02857,Mental and behavioural disorders due to use of alcohol : residual and late-onset psychotic disorder
CS02858,Mental and behavioural disorders due to use of cannabinoids : dependence syndrome
CS02859,Mental and behavioural disorders due to use of cocaine : dependence syndrome
CS02860,"Mental and behavioural disorders due to use of other stimulants, including caffeine : dependence syndrome"
CS02861,Mental and behavioural disorders due to use of tobacco : unspecified mental and behavioural disorder
CS02862,Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances : unspecified mental and behavioural disorder
CS02863,Catatonic schizophrenia
CS02864,Other schizophrenia
CS02865,Severe depressive episode without psychotic symptoms
CS02866,Mixed anxiety and depressive disorder
CS02867,Anorexia nervosa
CS02868,Unspecified disorder of adult personality and behaviour
CS02869,Profound mental retardation without mention of impairment of behaviour
CS02870,Unspecified mental retardation without mention of impairment of behaviour
CS02871,Staphylococcal meningitis
CS02872,Human T-cell lymphotropic virus associated myelopathy
CS02873,Early-onset cerebellar ataxia
CS02874,"Hereditary ataxia, unspecified"
CS02875,"Infantile spinal muscular atrophy, type I [Werdnig-Hoffman]"
CS02876,"Spinal muscular atrophy, unspecified"
CS02877,Vascular parkinsonism
CS02878,Other secondary parkinsonism
CS02879,Progressive supranuclear ophthalmoplegia [Steele-Richardson-Olszewski]
CS02880,Idiopathic orofacial dystonia
CS02881,Alzheimer disease with early onset
CS02882,Circumscribed brain atrophy
CS02883,Other specified degenerative diseases of nervous system
CS02884,Generalized idiopathic epilepsy and epileptic syndromes
CS02885,Other generalized epilepsy and epileptic syndromes
CS02886,Grand mal status epilepticus
CS02887,Hereditary motor and sensory neuropathy
CS02888,Other hereditary and idiopathic neuropathies
CS02889,Other inflammatory polyneuropathies
CS02890,Myotonic disorders
CS02891,Congenital myopathies
CS02892,"Myopathy, unspecified"
CS02893,Spastic tetraplegia
CS02894,Compression of brain
CS02895,"Disorders of meninges, not elsewhere classified"
CS02896,"Glaucoma, unspecified"
CS02897,"Otitis media, unspecified"
CS02898,"Mastoiditis, unspecified"
CS02899,Rheumatic mitral insufficiency
CS02900,"Multiple valve disease, unspecified"
CS02901,"Rheumatic diseases of endocardium, valve unspecified"
CS02902,"Acute ischaemic heart disease, unspecified"
CS02903,Other forms of chronic ischaemic heart disease
CS02904,Other secondary pulmonary hypertension
CS02905,Other specified pulmonary heart diseases
CS02906,Cardiomyopathy due to drugs and other external agents
CS02907,Other cardiomyopathies
CS02908,"Atrioventricular block, second degree"
CS02909,Other and unspecified atrioventricular block
CS02910,Paroxysmal atrial fibrillation
CS02911,Chronic atrial fibrillation
CS02912,Sick sinus syndrome
CS02913,"Cardiac septal defect, acquired"
CS02914,"Intracardiac thrombosis, not elsewhere classified"
CS02915,Myocardial degeneration
CS02916,Subarachnoid haemorrhage from basilar artery
CS02917,"Subarachnoid haemorrhage from intracranial artery, unspecified"
CS02918,"Intracerebral haemorrhage in hemisphere, unspecified"
CS02919,Cerebral infarction due to unspecified occlusion or stenosis of precerebral arteries
CS02920,Cerebral infarction due to thrombosis of cerebral arteries
CS02921,Cerebral atherosclerosis
CS02922,Sequelae of intracerebral haemorrhage
CS02923,Sequelae of other nontraumatic intracranial haemorrhage
CS02924,Sequelae of other and unspecified cerebrovascular diseases
CS02925,Atherosclerosis of arteries of extremities
CS02926,"Thoracoabdominal aortic aneurysm, without mention of rupture"
CS02927,Aneurysm and dissection of artery of lower extremity
CS02928,Aneurysm and dissection of other precerebral arteries
CS02929,Aneurysm and dissection of vertebral artery
CS02930,Thromboangiitis obliterans [Buerger]
CS02931,Embolism and thrombosis of abdominal aorta
CS02932,Embolism and thrombosis of other and unspecified parts of aorta
CS02933,"Embolism and thrombosis of arteries of extremities, unspecified"
CS02934,Rupture of artery
CS02935,Necrosis of artery
CS02936,"Arteritis, unspecified"
CS02937,Other specified disorders of arteries and arterioles
CS02938,"Phlebitis and thrombophlebitis of lower extremities, unspecified"
CS02939,Phlebitis and thrombophlebitis of unspecified site
CS02940,Orthostatic hypotension
CS02941,"Hypotension, unspecified"
CS02942,Respiratory syncytial virus pneumonia
CS02943,Pneumonia due to Pseudomonas
CS02944,Pneumonia due to other streptococci
CS02945,Pneumonia due to other Gram-negative bacteria
CS02946,Pneumonia due to Mycoplasma pneumoniae
CS02947,"Hypostatic pneumonia, unspecified"
CS02948,Acute bronchitis due to parainfluenza virus
CS02949,Acute bronchitis due to other specified organisms
CS02950,Other specified disorders of nose and nasal sinuses
CS02951,Other abscess of pharynx
CS02952,Other specified diseases of upper respiratory tract
CS02953,Centrilobular emphysema
CS02954,Predominantly allergic asthma
CS02955,Acute pulmonary manifestations due to radiation
CS02956,"Drug-induced interstitial lung disorders, unspecified"
CS02957,Perforation of oesophagus
CS02958,Gastric ulcer : acute with haemorrhage
CS02959,"Peptic ulcer, site unspecified : chronic or unspecified with both haemorrhage and perforation"
CS02960,"Unilateral or unspecified inguinal hernia, with gangrene"
CS02961,"Umbilical hernia with obstruction, without gangrene"
CS02962,Other and unspecified ventral hernia with obstruction without gangrene
CS02963,Other and unspecified ventral hernia without obstruction or gangrene
CS02964,Unspecified abdominal hernia with gangrene
CS02965,"Noninfective gastroenteritis and colitis, unspecified"
CS02966,Other impaction of intestine
CS02967,Intestinal adhesions [bands] with obstruction
CS02968,Diverticular disease of large intestine with perforation and abscess
CS02969,Diverticular disease of large intestine without perforation or abscess
CS02970,"Diverticular disease of intestine, part unspecified, with perforation and abscess"
CS02971,Other specified diseases of anus and rectum
CS02972,Polyp of colon
CS02973,Other peritonitis
CS02974,Peritoneal adhesions
CS02975,Hydrops of gallbladder
CS02976,Other specified diseases of gallbladder
CS02977,"Disease of gallbladder, unspecified"
CS02978,Other specified diseases of biliary tract
CS02979,Biliary acute pancreatitis
CS02980,Alcohol-induced acute pancreatitis
CS02981,Other acute pancreatitis
CS02982,Melaena
CS02983,Other specified diseases of digestive system
CS02984,Cellulitis of face
CS02985,Bullous pemphigoid
CS02986,Acquired epidermolysis bullosa
CS02987,Infective dermatitis
CS02988,Stage IV decubitus ulcer
CS02989,"Atrophic disorder of skin, unspecified"
CS02990,"Disorder of skin and subcutaneous tissue, unspecified"
CS02991,Staphylococcal arthritis and polyarthritis
CS02992,Rheumatoid arthritis with involvement of other organs and systems
CS02993,Adult-onset Still disease
CS02994,"Gout, unspecified"
CS02995,"Polyarthrosis, unspecified"
CS02996,"Coxarthrosis, unspecified"
CS02997,"Arthrosis, unspecified"
CS02998,"Joint disorder, unspecified"
CS02999,Wegener granulomatosis
CS03000,Other giant cell arteritis
CS03001,Microscopic polyangiitis
CS03002,Other specified necrotizing vasculopathies
CS03003,Other forms of systemic sclerosis
CS03004,Behçet disease
CS03005,Other specified systemic involvement of connective tissue
CS03006,Osteomyelitis of vertebra
CS03007,Other spondylosis
CS03008,"Collapsed vertebra, not elsewhere classified"
CS03009,Other cervical disc degeneration
CS03010,"Dorsopathy, unspecified"
CS03011,Low back pain
CS03012,Other myositis
CS03013,Other specified disorders of muscle
CS03014,"Neuralgia and neuritis, unspecified"
CS03015,Fibromyalgia
CS03016,"Paget disease of bone, unspecified"
CS03017,Chronic nephritic syndrome : unspecified
CS03018,Chronic obstructive pyelonephritis
CS03019,"Urinary calculus, unspecified"
CS03020,Irradiation cystitis
CS03021,Acute prostatitis
CS03022,Abscess of prostate
CS03023,"Disorder of prostate, unspecified"
CS03024,Other specified inflammation of vagina and vulva
CS03025,"Abnormal uterine and vaginal bleeding, unspecified"
CS03026,"Spontaneous abortion : complete or unspecified, without complication"
CS03027,HELLP syndrome
CS03028,"Liver disorders in pregnancy, childbirth and the puerperium"
CS03029,Amniotic fluid embolism
CS03030,Fetus and newborn affected by maternal renal and urinary tract diseases
CS03031,Fetus and newborn affected by oligohydramnios
CS03032,Fetus and newborn affected by other maternal complications of pregnancy
CS03033,Fetus and newborn affected by chorioamnionitis
CS03034,"Fetus and newborn affected by complication of labour and delivery, unspecified"
CS03035,Intrauterine hypoxia first noted before onset of labour
CS03036,"Intrauterine hypoxia, unspecified"
CS03037,Other cardiovascular disorders originating in the perinatal period
CS03038,Neonatal candidiasis
CS03039,Other specified congenital infectious and parasitic diseases
CS03040,"Infection specific to the perinatal period, unspecified"
CS03041,"Other congenital anaemias, not elsewhere classified"
CS03042,Other transient neonatal disorders of coagulation
CS03043,Noninfective neonatal diarrhoea
CS03044,Other specified perinatal digestive system disorders
CS03045,Neonatal cerebral leukomalacia
CS03046,"Disturbance of cerebral status of newborn, unspecified"
CS03047,Holoprosencephaly
CS03048,Congenital cerebral cysts
CS03049,Other specified congenital malformations of brain
CS03050,Atrial septal defect
CS03051,Pulmonary valve atresia
CS03052,Congenital insufficiency of aortic valve
CS03053,Other congenital malformations of aortic and mitral valves
CS03054,"Congenital malformation of peripheral vascular system, unspecified"
CS03055,Other congenital malformations of trachea
CS03056,Atresia of oesophagus without fistula
CS03057,"Congenital absence, atresia and stenosis of duodenum"
CS03058,Persistent cloaca
CS03059,Other congenital malformations of liver
CS03060,Other specified congenital malformations of digestive system
CS03061,Potter syndrome
CS03062,Other congenital malformations of abdominal wall
CS03063,Marfan syndrome
CS03064,"Other specified congenital malformation syndromes, not elsewhere classified"
CS03065,"Patau syndrome, unspecified"
CS03066,Other specified trisomies and partial trisomies of autosomes
CS03067,"Trisomy and partial trisomy of autosomes, unspecified"
CS03068,Other deletions of part of a chromosome
CS03069,Dyspnoea
CS03070,Hyperventilation
CS03071,"Chest pain, unspecified"
CS03072,Asphyxia
CS03073,Acute abdomen
CS03074,Other and unspecified abdominal pain
CS03075,Other specified symptoms and signs involving the digestive system and abdomen
CS03076,"Difficulty in walking, not elsewhere classified"
CS03077,Immobility
CS03078,"Coma, unspecified"
CS03079,"Disorientation, unspecified"
CS03080,Other and unspecified symptoms and signs involving cognitive functions and awareness
CS03081,Demoralization and apathy
CS03082,"Fever, unspecified"
CS03083,"Shock, unspecified"
CS03084,Generalized enlarged lymph nodes
CS03085,Anorexia
CS03086,Other specified general symptoms and signs
CS03087,Laboratory evidence of human immunodeficiency virus [HIV]
CS03088,Abnormal findings on diagnostic imaging of urinary organs
CS03089,Abnormal findings on diagnostic imaging of other specified body structures
CS03090,"COVID-19, virus not identified"
CS03091,"Pedestrian injured in collision with car, pick-up truck or van : unspecified whether traffic or nontraffic accident"
CS03092,Pedal cyclist injured in noncollision transport accident : unspecified pedal cyclist injured in traffic accident
CS03093,"Motorcycle rider injured in collision with car, pick-up truck or van : unspecified motorcycle rider injured in traffic accident"
CS03094,"Car occupant injured in collision with car, pick-up truck or van : unspecified car occupant injured in traffic accident"
CS03095,Car occupant injured in noncollision transport accident : unspecified car occupant injured in traffic accident
CS03096,Car occupant [any] injured in unspecified traffic accident
CS03097,Unspecified occupant of all-terrain or other off-road motor vehicle injured in traffic accident
CS03098,"Contact with knife, sword or dagger"
CS03099,4-Aminophenol derivatives
CS03100,"Anaesthetic, unspecified"
CS03101,During surgical operation
CS03102,During endoscopic examination
CS03103,"During aspiration, puncture and other catheterization"
CS03104,"Cardiovascular devices associated with adverse incidents : prosthetic and other implants, materials and accessory devices"
CS03105,"Gastroenterology and urology devices associated with adverse incidents : prosthetic and other implants, materials and accessory devices"
CS03106,Removal of other organ (partial) (total)
CS03107,Sequelae of motor-vehicle accident
CS03108,Sequelae of intentional self-harm
CS03109,"Sequelae of surgical and medical procedures as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure"
CS03110,Typhoid fever
CS03111,"Bacterial foodborne intoxication, unspecified"
CS03112,Other tuberculosis of nervous system
CS03113,Tuberculosis of genitourinary system
CS03114,Tuberculous peripheral lymphadenopathy
CS03115,"Tuberculosis of intestines, peritoneum and mesenteric glands"
CS03116,Tuberculosis of other specified organs
CS03117,Pulmonary mycobacterial infection
CS03118,Listerial meningitis and meningoencephalitis
CS03119,Meningococcal meningitis
CS03120,"Sepsis due to streptococcus, group D and enterococcus"
CS03121,Sepsis due to anaerobes
CS03122,"Rabies, unspecified"
CS03123,"Viral meningitis, unspecified"
CS03124,Varicella pneumonia
CS03125,Zoster ocular disease
CS03126,Hepatitis A with hepatic coma
CS03127,Hepatitis A without hepatic coma
CS03128,Unspecified viral hepatitis with hepatic coma
CS03129,Cytomegaloviral hepatitis
CS03130,"Coronavirus infection, unspecified site"
CS03131,Candidal sepsis
CS03132,Candidiasis of other sites
CS03133,"Candidiasis, unspecified"
CS03134,"Aspergillosis, unspecified"
CS03135,"Cryptococcosis, unspecified"
CS03136,Visceral leishmaniasis
CS03137,"Leishmaniasis, unspecified"
CS03138,Toxoplasma meningoencephalitis
CS03139,"Echinococcosis, unspecified, of liver"
CS03140,"Echinococcosis, other and unspecified"
CS03141,Sequelae of tuberculosis of other organs
CS03142,Sequelae of unspecified infectious or parasitic disease
CS03143,Malignant neoplasm: Appendix
CS03144,Malignant neoplasm: Hepatoblastoma
CS03145,"Malignant neoplasm: Overlapping lesion of heart, mediastinum and pleura"
CS03146,Malignant neoplasm: Scapula and long bones of upper limb
CS03147,"Malignant neoplasm: Ribs, sternum and clavicle"
CS03148,Malignant neoplasm: Skin of scalp and neck
CS03149,Mesothelioma of pleura
CS03150,Mesothelioma of peritoneum
CS03151,Malignant neoplasm: Peripheral nerves of pelvis
CS03152,Malignant neoplasm: Connective and soft tissue of abdomen
CS03153,Malignant neoplasm: Connective and soft tissue of pelvis
CS03154,Malignant neoplasm: Myometrium
CS03155,Malignant neoplasm: Ciliary body
CS03156,Malignant neoplasm: Lacrimal gland and duct
CS03157,Malignant neoplasm: Cerebral meninges
CS03158,Malignant neoplasm: Cerebral ventricle
CS03159,Malignant neoplasm: Overlapping lesion of brain
CS03160,Malignant neoplasm: Acoustic nerve
CS03161,Malignant neoplasm of other and ill-defined sites: Upper limb
CS03162,Sézary disease
CS03163,Hairy-cell leukaemia
CS03164,Acute myeloid leukaemia with multilineage dysplasia
CS03165,Benign neoplasm: Bronchus and lung
CS03166,Benign neoplasm: Short bones of lower limb
CS03167,Benign neoplasm: Other urinary organs
CS03168,Benign neoplasm: Adrenal gland
CS03169,Benign neoplasm: Lymph nodes
CS03170,Neoplasm of uncertain or unknown behaviour: Appendix
CS03171,Neoplasm of uncertain or unknown behaviour: Rectum
CS03172,Neoplasm of uncertain or unknown behaviour: Pleura
CS03173,Neoplasm of uncertain or unknown behaviour: Thymus
CS03174,Neoplasm of uncertain or unknown behaviour: Other respiratory organs
CS03175,"Neoplasm of uncertain or unknown behaviour: Urinary organ, unspecified"
CS03176,"Neoplasm of uncertain or unknown behaviour: Meninges, unspecified"
CS03177,Neoplasm of uncertain or unknown behaviour: Thyroid gland
CS03178,Neoplasm of uncertain or unknown behaviour: Adrenal gland
CS03179,Neoplasm of uncertain or unknown behaviour: Pituitary gland
CS03180,Neoplasm of uncertain or unknown behaviour: Pineal gland
CS03181,"Other specified neoplasms of uncertain or unknown behaviour of lymphoid, haematopoietic and related tissue"
CS03182,Neoplasm of uncertain or unknown behaviour: Retroperitoneum
CS03183,Neoplasm of uncertain or unknown behaviour: Skin
CS03184,Neoplasm of uncertain or unknown behaviour: Breast
CS03185,Other thalassaemias
CS03186,Haemolytic-uraemic syndrome
CS03187,Constitutional aplastic anaemia
CS03188,Other sideroblastic anaemias
CS03189,Allergic purpura
CS03190,Qualitative platelet defects
CS03191,Other nonthrombocytopenic purpura
CS03192,Other primary thrombocytopenia
CS03193,"Haemophagocytic syndrome, infection-associated"
CS03194,Other histiocytosis syndromes
CS03195,Hyperimmunoglobulin E [IgE] syndrome
CS03196,Sarcoidosis of lung
CS03197,Sarcoidosis of other and combined sites
CS03198,Myxoedema coma
CS03199,Nontoxic single thyroid nodule
CS03200,Nontoxic multinodular goitre
CS03201,Thyrotoxicosis with toxic multinodular goitre
CS03202,"Hypoparathyroidism, unspecified"
CS03203,Syndrome of inappropriate secretion of antidiuretic hormone
CS03204,GM 2 gangliosidosis
CS03205,"Mucopolysaccharidosis, unspecified"
CS03206,"Disorder of glycoprotein metabolism, unspecified"
CS03207,Disorders of copper metabolism
CS03208,Secondary systemic amyloidosis
CS03209,Other specified metabolic disorders
CS03210,Subcortical vascular dementia
CS03211,Organic emotionally labile [asthenic] disorder
CS03212,Mental and behavioural disorders due to use of tobacco : psychotic disorder
CS03213,Acute stress reaction
CS03214,"Dissociative [conversion] disorder, unspecified"
CS03215,Dissocial personality disorder
CS03216,Other bacterial meningitis
CS03217,"Bacterial meningoencephalitis and meningomyelitis, not elsewhere classified"
CS03218,Other specified extrapyramidal and movement disorders
CS03219,"Demyelinating disease of central nervous system, unspecified"
CS03220,Bell palsy
CS03221,Disorders of glossopharyngeal nerve
CS03222,Other primary disorders of muscles
CS03223,Spastic hemiplegic cerebral palsy
CS03224,Other cerebral palsy
CS03225,Flaccid paraplegia
CS03226,Monoplegia of lower limb
CS03227,"Monoplegia, unspecified"
CS03228,Cauda equina syndrome
CS03229,"Paralytic syndrome, unspecified"
CS03230,Other disorders of autonomic nervous system
CS03231,Acute inflammation of orbit
CS03232,"Blindness, binocular"
CS03233,Anomalies of pupillary function
CS03234,Malignant otitis externa
CS03235,Other specified disorders of middle ear and mastoid
CS03236,"Rheumatic aortic valve disease, unspecified"
CS03237,Disorders of both mitral and tricuspid valves
CS03238,Aneurysm of heart
CS03239,Kyphoscoliotic heart disease
CS03240,Arteriovenous fistula of pulmonary vessels
CS03241,"Haemopericardium, not elsewhere classified"
CS03242,Other restrictive cardiomyopathy
CS03243,Nonspecific intraventricular block
CS03244,Other ill-defined heart diseases
CS03245,Nontraumatic extradural haemorrhage
CS03246,"Cerebral infarction due to cerebral venous thrombosis, nonpyogenic"
CS03247,Progressive vascular leukoencephalopathy
CS03248,Nonpyogenic thrombosis of intracranial venous system
CS03249,Aneurysm and dissection of carotid artery
CS03250,Raynaud syndrome
CS03251,Other specified peripheral vascular diseases
CS03252,Embolism and thrombosis of iliac artery
CS03253,Embolism and thrombosis of other arteries
CS03254,Stricture of artery
CS03255,Phlebitis and thrombophlebitis of femoral vein
CS03256,Lymphangitis
CS03257,Other specified noninfective disorders of lymphatic vessels and lymph nodes
CS03258,"Acute pharyngitis, unspecified"
CS03259,Acute epiglottitis
CS03260,Other bacterial pneumonia
CS03261,Chronic sphenoidal sinusitis
CS03262,"Abscess, furuncle and carbuncle of nose"
CS03263,"Chronic disease of tonsils and adenoids, unspecified"
CS03264,Oedema of larynx
CS03265,Pneumoconiosis due to other dust containing silica
CS03266,Abscess of mediastinum
CS03267,Chylous effusion
CS03268,Sialoadenitis
CS03269,Other specified diseases of oesophagus
CS03270,"Disease of oesophagus, unspecified"
CS03271,Acute haemorrhagic gastritis
CS03272,Acute dilatation of stomach
CS03273,"Acute appendicitis, other and unspecified"
CS03274,"Unilateral or unspecified femoral hernia, with obstruction, without gangrene"
